;;;;;;;;;;;;x,,,,,,,,,,,,,;;;;;;;;;
return_cores_KAM_title;Вернуть провинции Kamchatka;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KAM_desc;Мы владеем провинциями, на которые  Kamchatka имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KMK_title;Вернуть провинции Kalmykia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KMK_desc;Мы владеем провинциями, на которые  Kalmykia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KRL_title;Вернуть провинции Karelia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KRL_desc;Мы владеем провинциями, на которые  Karelia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SIB_title;Вернуть провинции Siberian Republic;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SIB_desc;Мы владеем провинциями, на которые  Siberian Republic имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TAR_title;Вернуть провинции Tatarstan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TAR_desc;Мы владеем провинциями, на которые  Tatarstan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TNT_title;Вернуть провинции Tannu Tuva;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TNT_desc;Мы владеем провинциями, на которые  Tannu Tuva имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_URA_title;Вернуть провинции Ural Republic;;;;;;;;;;;;;;;;;;;;x,,
return_cores_URA_desc;Мы владеем провинциями, на которые  Ural Republic имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_YAK_title;Вернуть провинции Yakutia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_YAK_desc;Мы владеем провинциями, на которые  Yakutia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ARU_title;Вернуть провинции Arab Union;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ARU_desc;Мы владеем провинциями, на которые  Arab Union имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ASY_title;Вернуть провинции Assyria;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ASY_desc;Мы владеем провинциями, на которые  Assyria имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BHR_title;Вернуть провинции Bahrain;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BHR_desc;Мы владеем провинциями, на которые  Bahrain имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CIR_title;Вернуть провинции Circassia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CIR_desc;Мы владеем провинциями, на которые  Circassia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CLC_title;Вернуть провинции Cilicia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CLC_desc;Мы владеем провинциями, на которые  Cilicia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DAG_title;Вернуть провинции Dagestan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DAG_desc;Мы владеем провинциями, на которые  Dagestan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DUR_title;Вернуть провинции Durrani Empire;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DUR_desc;Мы владеем провинциями, на которые  Durrani Empire имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HAL_title;Вернуть провинции Hail;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HAL_desc;Мы владеем провинциями, на которые  Hail имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_JOR_title;Вернуть провинции Jordan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_JOR_desc;Мы владеем провинциями, на которые  Jordan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KDS_title;Вернуть провинции Kurdistan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KDS_desc;Мы владеем провинциями, на которые  Kurdistan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KWT_title;Вернуть провинции Kuwait;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KWT_desc;Мы владеем провинциями, на которые  Kuwait имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KYR_title;Вернуть провинции Kyrgyzstan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KYR_desc;Мы владеем провинциями, на которые  Kyrgyzstan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LBN_title;Вернуть провинции Lebanon;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LBN_desc;Мы владеем провинциями, на которые  Lebanon имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NYE_title;Вернуть провинции North Yemen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NYE_desc;Мы владеем провинциями, на которые  North Yemen имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PLS_title;Вернуть провинции Palestine;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PLS_desc;Мы владеем провинциями, на которые  Palestine имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PNT_title;Вернуть провинции Pontus;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PNT_desc;Мы владеем провинциями, на которые  Pontus имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SYR_title;Вернуть провинции Syria;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SYR_desc;Мы владеем провинциями, на которые  Syria имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TAJ_title;Вернуть провинции Tajikstan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TAJ_desc;Мы владеем провинциями, на которые  Tajikstan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TCA_title;Вернуть провинции Transcaucasia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TCA_desc;Мы владеем провинциями, на которые  Transcaucasia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TKM_title;Вернуть провинции Turkmenistan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TKM_desc;Мы владеем провинциями, на которые  Turkmenistan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TKS_title;Вернуть провинции Turkestan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TKS_desc;Мы владеем провинциями, на которые  Turkestan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_UYG_title;Вернуть провинции Uyghurstan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_UYG_desc;Мы владеем провинциями, на которые  Uyghurstan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_UZB_title;Вернуть провинции Uzbekistan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_UZB_desc;Мы владеем провинциями, на которые  Uzbekistan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ASM_title;Вернуть провинции Assam;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ASM_desc;Мы владеем провинциями, на которые  Assam имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BIH_title;Вернуть провинции Bihar;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BIH_desc;Мы владеем провинциями, на которые  Bihar имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BLC_title;Вернуть провинции Baluchistan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BLC_desc;Мы владеем провинциями, на которые  Baluchistan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BNG_title;Вернуть провинции Bengal;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BNG_desc;Мы владеем провинциями, на которые  Bengal имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DRA_title;Вернуть провинции Dravidistan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DRA_desc;Мы владеем провинциями, на которые  Dravidistan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KRN_title;Вернуть провинции Karnatak;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KRN_desc;Мы владеем провинциями, на которые  Karnatak имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MAH_title;Вернуть провинции Maharashtra;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MAH_desc;Мы владеем провинциями, на которые  Maharashtra имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_RAJ_title;Вернуть провинции Rajputana;;;;;;;;;;;;;;;;;;;;x,,
return_cores_RAJ_desc;Мы владеем провинциями, на которые  Rajputana имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SRI_title;Вернуть провинции Sri Lanka;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SRI_desc;Мы владеем провинциями, на которые  Sri Lanka имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_AGC_title;Вернуть провинции Angoche;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AGC_desc;Мы владеем провинциями, на которые  Angoche имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ANG_title;Вернуть провинции Angola;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ANG_desc;Мы владеем провинциями, на которые  Angola имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ARO_title;Вернуть провинции Aro;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ARO_desc;Мы владеем провинциями, на которые  Aro имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_ASH_title;Вернуть провинции Ashanti;;;;;;;;;;;;;;;;;;;;x,,
return_cores_ASH_desc;Мы владеем провинциями, на которые  Ashanti имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_AWS_title;Вернуть провинции Awsa;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AWS_desc;Мы владеем провинциями, на которые  Awsa имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_AZA_title;Вернуть провинции Azande;;;;;;;;;;;;;;;;;;;;x,,
return_cores_AZA_desc;Мы владеем провинциями, на которые  Azande имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BEN_title;Вернуть провинции Benin;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BEN_desc;Мы владеем провинциями, на которые  Benin имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BMK_title;Вернуть провинции Bamako;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BMK_desc;Мы владеем провинциями, на которые  Bamako имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BRD_title;Вернуть провинции Urundi;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BRD_desc;Мы владеем провинциями, на которые  Urundi имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BSH_title;Вернуть провинции Basotho;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BSH_desc;Мы владеем провинциями, на которые  Basotho имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BUG_title;Вернуть провинции Buganda;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BUG_desc;Мы владеем провинциями, на которые  Buganda имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CAR_title;Вернуть провинции Central African Republic;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CAR_desc;Мы владеем провинциями, на которые  Central African Republic имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CGO_title;Вернуть провинции Congo-Brazzaville;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CGO_desc;Мы владеем провинциями, на которые  Congo-Brazzaville имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CHD_title;Вернуть провинции Chad;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CHD_desc;Мы владеем провинциями, на которые  Chad имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CLA_title;Вернуть провинции Calabar;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CLA_desc;Мы владеем провинциями, на которые  Calabar имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CMR_title;Вернуть провинции Cameroon;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CMR_desc;Мы владеем провинциями, на которые  Cameroon имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CYR_title;Вернуть провинции Cyrenaica;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CYR_desc;Мы владеем провинциями, на которые  Cyrenaica имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DAH_title;Вернуть провинции Dahomey;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DAH_desc;Мы владеем провинциями, на которые  Dahomey имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DAM_title;Вернуть провинции Damagaram;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DAM_desc;Мы владеем провинциями, на которые  Damagaram имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DAR_title;Вернуть провинции Darfur;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DAR_desc;Мы владеем провинциями, на которые  Darfur имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_DND_title;Вернуть провинции Dendi;;;;;;;;;;;;;;;;;;;;x,,
return_cores_DND_desc;Мы владеем провинциями, на которые  Dendi имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GAB_title;Вернуть провинции Gabon;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GAB_desc;Мы владеем провинциями, на которые  Gabon имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GAZ_title;Вернуть провинции Gaza;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GAZ_desc;Мы владеем провинциями, на которые  Gaza имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GBU_title;Вернуть провинции Gabu;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GBU_desc;Мы владеем провинциями, на которые  Gabu имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GEL_title;Вернуть провинции Geledi;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GEL_desc;Мы владеем провинциями, на которые  Geledi имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GMB_title;Вернуть провинции Gambia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GMB_desc;Мы владеем провинциями, на которые  Gambia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GNE_title;Вернуть провинции Guinea;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GNE_desc;Мы владеем провинциями, на которые  Guinea имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_GON_title;Вернуть провинции Gonder;;;;;;;;;;;;;;;;;;;;x,,
return_cores_GON_desc;Мы владеем провинциями, на которые  Gonder имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HAR_title;Вернуть провинции Harar;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HAR_desc;Мы владеем провинциями, на которые  Harar имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_IVC_title;Вернуть провинции Ivory Coast;;;;;;;;;;;;;;;;;;;;x,,
return_cores_IVC_desc;Мы владеем провинциями, на которые  Ivory Coast имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_JAL_title;Вернуть провинции Jallon;;;;;;;;;;;;;;;;;;;;x,,
return_cores_JAL_desc;Мы владеем провинциями, на которые  Jallon имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KAF_title;Вернуть провинции Kaffa;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KAF_desc;Мы владеем провинциями, на которые  Kaffa имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KBO_title;Вернуть провинции Kanem-Bornu;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KBO_desc;Мы владеем провинциями, на которые  Kanem-Bornu имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KNG_title;Вернуть провинции Kong;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KNG_desc;Мы владеем провинциями, на которые  Kong имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KNY_title;Вернуть провинции Kenya;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KNY_desc;Мы владеем провинциями, на которые  Kenya имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KON_title;Вернуть провинции Kongo;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KON_desc;Мы владеем провинциями, на которые  Kongo имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KUB_title;Вернуть провинции Kuba;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KUB_desc;Мы владеем провинциями, на которые  Kuba имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KZB_title;Вернуть провинции Kazembe;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KZB_desc;Мы владеем провинциями, на которые  Kazembe имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LBA_title;Вернуть провинции Luba;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LBA_desc;Мы владеем провинциями, на которые  Luba имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LBY_title;Вернуть провинции Libya;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LBY_desc;Мы владеем провинциями, на которые  Libya имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LOA_title;Вернуть провинции Loango;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LOA_desc;Мы владеем провинциями, на которые  Loango имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_LUN_title;Вернуть провинции Lunda;;;;;;;;;;;;;;;;;;;;x,,
return_cores_LUN_desc;Мы владеем провинциями, на которые  Lunda имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MAJ_title;Вернуть провинции Majeerteen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MAJ_desc;Мы владеем провинциями, на которые  Majeerteen имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MAS_title;Вернуть провинции Massina;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MAS_desc;Мы владеем провинциями, на которые  Massina имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MAT_title;Вернуть провинции Matabele;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MAT_desc;Мы владеем провинциями, на которые  Matabele имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MLI_title;Вернуть провинции Mali;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MLI_desc;Мы владеем провинциями, на которые  Mali имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MLW_title;Вернуть провинции Malawi;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MLW_desc;Мы владеем провинциями, на которые  Malawi имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MNG_title;Вернуть провинции Mongo;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MNG_desc;Мы владеем провинциями, на которые  Mongo имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MOS_title;Вернуть провинции Mossi;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MOS_desc;Мы владеем провинциями, на которые  Mossi имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MOZ_title;Вернуть провинции Mozambique;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MOZ_desc;Мы владеем провинциями, на которые  Mozambique имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NGR_title;Вернуть провинции Nigeria;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NGR_desc;Мы владеем провинциями, на которые  Nigeria имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NIG_title;Вернуть провинции Niger;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NIG_desc;Мы владеем провинциями, на которые  Niger имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_OYO_title;Вернуть провинции Oyo;;;;;;;;;;;;;;;;;;;;x,,
return_cores_OYO_desc;Мы владеем провинциями, на которые  Oyo имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_RWA_title;Вернуть провинции Ruanda;;;;;;;;;;;;;;;;;;;;x,,
return_cores_RWA_desc;Мы владеем провинциями, на которые  Ruanda имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SEG_title;Вернуть провинции Segu;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SEG_desc;Мы владеем провинциями, на которые  Segu имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SHO_title;Вернуть провинции Shona;;;;;;;;;;;;;;;;;;;;x,,
